participant,age,female,vignette,stem,condition,medium,severity,wrt
25,21,1,7,1,bullying,online,2,1
25,21,1,8,2,bullying,online,4,5
25,21,1,9,3,bullying,online,3,5
25,21,1,10,4,bullying,online,2,1
25,21,1,11,5,bullying,online,3,2
25,21,1,12,6,bullying,online,3,3
25,21,1,13,1,harassment,offline,5,5
25,21,1,14,2,harassment,offline,5,5
25,21,1,15,3,harassment,offline,4,4
25,21,1,16,4,harassment,offline,4,1
25,21,1,17,5,harassment,offline,4,4
25,21,1,18,6,harassment,offline,4,4
25,21,1,19,1,harassment,online,5,5
25,21,1,20,2,harassment,online,2,1
25,21,1,21,3,harassment,online,4,2
25,21,1,22,4,harassment,online,2,3
25,21,1,23,5,harassment,online,2,1
25,21,1,24,6,harassment,online,3,3
26,21,1,1,1,bullying,offline,4,4
26,21,1,2,2,bullying,offline,5,4
26,21,1,3,3,bullying,offline,3,2
26,21,1,4,4,bullying,offline,5,2
26,21,1,5,5,bullying,offline,3,3
26,21,1,6,6,bullying,offline,3,2
26,21,1,7,1,bullying,online,4,2
26,21,1,8,2,bullying,online,4,2
26,21,1,9,3,bullying,online,4,2
26,21,1,10,4,bullying,online,4,2
26,21,1,11,5,bullying,online,4,4
26,21,1,12,6,bullying,online,4,2
26,21,1,13,1,harassment,offline,4,2
26,21,1,14,2,harassment,offline,5,5
26,21,1,15,3,harassment,offline,4,2
26,21,1,16,4,harassment,offline,2,2
26,21,1,17,5,harassment,offline,5,5
26,21,1,18,6,harassment,offline,5,5
26,21,1,19,1,harassment,online,5,5
26,21,1,20,2,harassment,online,5,5
26,21,1,21,3,harassment,online,5,4
26,21,1,22,4,harassment,online,5,3
26,21,1,23,5,harassment,online,5,5
26,21,1,24,6,harassment,online,5,4
27,19,1,1,1,bullying,offline,3,2
27,19,1,2,2,bullying,offline,5,5
27,19,1,3,3,bullying,offline,4,4
27,19,1,4,4,bullying,offline,3,3
27,19,1,5,5,bullying,offline,4,4
27,19,1,6,6,bullying,offline,4,4
27,19,1,7,1,bullying,online,4,3
27,19,1,8,2,bullying,online,4,2
